website,datetime,hop,vpn,ip,speed1,speed2,speed3
amazon.sg,2023-10-08 00:31:57,1,Singapore,192.168.10.1,14.046,2.411,2.211
amazon.sg,2023-10-08 00:31:57,2,Singapore,101.127.245.1,5.370,12.700,12.902
amazon.sg,2023-10-08 00:31:57,3,Singapore,183.90.44.113,10.127,,
amazon.sg,2023-10-08 00:31:57,3.1,Singapore,183.90.44.33,4.967,,
amazon.sg,2023-10-08 00:31:57,3.2,Singapore,183.90.44.113,4.198,,
amazon.sg,2023-10-08 00:31:57,4,Singapore,183.90.44.41,5.880,,
amazon.sg,2023-10-08 00:31:57,4.1,Singapore,183.90.44.45,4.303,14.399,
amazon.sg,2023-10-08 00:31:57,5,Singapore,203.118.5.129,4.164,4.843,6.576
amazon.sg,2023-10-08 00:31:57,6,Singapore,99.83.70.24,4.823,,
