website,datetime,hop,vpn,ip,speed1,speed2,speed3
amazon.sg,2023-10-08 02:15:31,1,Singapore,192.168.0.1,4.669,4.145,3.686
amazon.sg,2023-10-08 02:15:31,2,Singapore,49.245.0.1,5.689,5.547,5.739
amazon.sg,2023-10-08 02:15:31,3,Singapore,202.65.246.6,5.502,5.343,5.875
amazon.sg,2023-10-08 02:15:31,4,Singapore,202.65.246.5,6.078,5.858,5.443
amazon.sg,2023-10-08 02:15:31,5,Singapore,202.65.246.37,9.914,6.724,6.576
amazon.sg,2023-10-08 02:15:31,6,Singapore,202.65.246.221,6.645,6.456,6.870
amazon.sg,2023-10-08 02:15:31,7,Singapore,99.83.64.152,7.856,6.627,6.740
amazon.co.uk,2023-10-08 02:16:05,1,Singapore,192.168.0.1,4.894,3.506,4.057
amazon.co.uk,2023-10-08 02:16:05,2,Singapore,49.245.0.1,5.961,5.693,5.602
amazon.co.uk,2023-10-08 02:16:05,3,Singapore,202.65.246.254,11.706,6.079,5.744
amazon.co.uk,2023-10-08 02:16:05,4,Singapore,202.65.246.253,6.338,5.092,9.518
amazon.co.uk,2023-10-08 02:16:05,5,Singapore,202.65.246.50,7.271,6.336,6.113
amazon.co.uk,2023-10-08 02:16:05,6,Singapore,213.248.100.86,6.127,6.762,5.907
amazon.co.uk,2023-10-08 02:16:05,7,Singapore,62.115.126.195,156.137,155.940,157.481
amazon.co.uk,2023-10-08 02:16:05,8,Singapore,62.115.114.202,182.886,,
amazon.co.uk,2023-10-08 02:16:05,9,Singapore,62.115.136.219,193.238,,
amazon.co.uk,2023-10-08 02:16:05,9.1,Singapore,62.115.132.229,158.690,,
amazon.co.uk,2023-10-08 02:16:05,9.2,Singapore,62.115.114.89,161.422,,
amazon.co.uk,2023-10-08 02:16:05,10,Singapore,62.115.58.115,184.417,,
amazon.co.uk,2023-10-08 02:16:05,10.1,Singapore,62.115.57.137,160.833,,
amazon.co.uk,2023-10-08 02:16:05,10.2,Singapore,62.115.58.115,171.336,,
amazon.com,2023-10-08 02:16:39,1,Singapore,192.168.0.1,3.899,4.028,3.750
amazon.com,2023-10-08 02:16:39,2,Singapore,49.245.0.1,6.065,5.994,6.457
amazon.com,2023-10-08 02:16:39,3,Singapore,202.65.246.254,5.734,5.983,5.617
amazon.com,2023-10-08 02:16:39,4,Singapore,202.65.246.253,6.295,5.054,4.956
amazon.com,2023-10-08 02:16:39,5,Singapore,202.65.245.151,6.024,,
amazon.com,2023-10-08 02:16:39,5.1,Singapore,202.65.246.50,6.039,9.064,
amazon.com,2023-10-08 02:16:39,6,Singapore,213.248.100.86,6.144,6.516,6.710
amazon.com,2023-10-08 02:16:39,7,Singapore,62.115.143.244,167.406,167.739,168.208
amazon.com,2023-10-08 02:16:39,8,Singapore,62.115.123.136,216.592,198.569,
amazon.com,2023-10-08 02:16:39,9,Singapore,62.115.138.65,197.304,198.212,196.943
amazon.com,2023-10-08 02:16:39,10,Singapore,62.115.61.163,199.728,198.204,198.589
lazada.sg,2023-10-08 02:17:17,1,Singapore,192.168.0.1,3.698,4.070,3.929
lazada.sg,2023-10-08 02:17:17,2,Singapore,49.245.0.1,5.505,6.358,5.956
lazada.sg,2023-10-08 02:17:17,3,Singapore,202.65.246.6,5.811,5.978,6.218
lazada.sg,2023-10-08 02:17:17,4,Singapore,202.65.246.5,7.614,7.093,6.032
lazada.sg,2023-10-08 02:17:17,5,Singapore,202.65.246.37,6.490,6.996,6.254
lazada.sg,2023-10-08 02:17:17,6,Singapore,202.65.246.221,7.224,7.540,
lazada.sg,2023-10-08 02:17:17,6.1,Singapore,202.65.246.134,6.793,,
lazada.sg,2023-10-08 02:17:17,7,Singapore,47.246.117.69,7.983,7.697,7.785
lazada.sg,2023-10-08 02:17:17,8,Singapore,116.251.81.217,8.939,,
lazada.com.my,2023-10-08 02:17:55,1,Singapore,192.168.0.1,6.521,3.295,3.606
lazada.com.my,2023-10-08 02:17:55,2,Singapore,49.245.0.1,5.295,7.541,5.553
lazada.com.my,2023-10-08 02:17:55,3,Singapore,202.65.246.6,5.402,12.801,6.171
lazada.com.my,2023-10-08 02:17:55,4,Singapore,202.65.246.5,5.927,5.972,5.923
lazada.com.my,2023-10-08 02:17:55,5,Singapore,202.65.246.37,6.259,7.016,7.186
lazada.com.my,2023-10-08 02:17:55,6,Singapore,202.65.246.134,21.888,,
lazada.com.my,2023-10-08 02:17:55,6.1,Singapore,202.65.246.221,6.750,6.404,
lazada.com.my,2023-10-08 02:17:55,7,Singapore,47.246.117.69,8.256,7.395,8.603
lazada.com.my,2023-10-08 02:17:55,8,Singapore,116.251.74.201,7.855,,
lazada.com.ph,2023-10-08 02:18:34,1,Singapore,192.168.0.1,3.864,3.854,3.857
lazada.com.ph,2023-10-08 02:18:34,2,Singapore,49.245.0.1,5.895,5.769,5.456
lazada.com.ph,2023-10-08 02:18:34,3,Singapore,202.65.246.6,5.740,5.217,6.186
lazada.com.ph,2023-10-08 02:18:34,4,Singapore,202.65.246.5,5.038,5.472,4.945
lazada.com.ph,2023-10-08 02:18:34,5,Singapore,202.65.246.37,6.605,6.233,6.163
lazada.com.ph,2023-10-08 02:18:34,6,Singapore,202.65.246.134,6.044,6.547,9.271
lazada.com.ph,2023-10-08 02:18:34,7,Singapore,47.246.117.69,6.842,7.258,7.280
lazada.com.ph,2023-10-08 02:18:34,8,Singapore,116.251.74.201,7.121,,
lazada.co.id,2023-10-08 02:19:19,1,Singapore,192.168.0.1,4.613,4.250,3.890
lazada.co.id,2023-10-08 02:19:19,2,Singapore,49.245.0.1,5.808,7.498,5.744
lazada.co.id,2023-10-08 02:19:19,3,Singapore,202.65.246.6,5.762,6.107,5.728
lazada.co.id,2023-10-08 02:19:19,4,Singapore,202.65.246.5,5.832,5.923,5.761
lazada.co.id,2023-10-08 02:19:19,5,Singapore,202.65.246.37,6.344,7.470,6.345
lazada.co.id,2023-10-08 02:19:19,6,Singapore,202.65.246.221,6.719,,
lazada.co.id,2023-10-08 02:19:19,6.1,Singapore,202.65.246.134,20.470,,
lazada.co.id,2023-10-08 02:19:19,6.2,Singapore,202.65.246.221,6.562,,
lazada.co.id,2023-10-08 02:19:19,7,Singapore,27.111.229.35,6.987,6.342,
lazada.co.id,2023-10-08 02:19:19,9,Singapore,103.211.230.70,196.090,193.990,
lazada.co.id,2023-10-08 02:19:19,9.1,Singapore,103.211.230.66,199.492,,
shopee.my,2023-10-08 02:22:01,1,Singapore,192.168.0.1,6.740,3.673,2.445
shopee.my,2023-10-08 02:22:01,2,Singapore,49.245.0.1,7.607,6.790,10.420
shopee.my,2023-10-08 02:22:01,3,Singapore,202.65.246.6,4.595,11.565,4.409
shopee.my,2023-10-08 02:22:01,4,Singapore,202.65.246.5,5.562,4.759,4.519
shopee.my,2023-10-08 02:22:01,5,Singapore,202.65.246.37,5.110,5.094,5.393
shopee.my,2023-10-08 02:22:01,6,Singapore,202.65.246.134,10.244,4.672,6.768
shopee.my,2023-10-08 02:22:01,7,Singapore,27.111.229.145,7.431,6.528,6.014
shopee.my,2023-10-08 02:22:01,8,Singapore,143.92.108.196,7.503,6.440,5.905
shopee.my,2023-10-08 02:22:01,9,Singapore,143.92.108.154,6.121,9.044,
shopee.my,2023-10-08 02:22:01,9.1,Singapore,143.92.108.158,8.572,,
shopee.my,2023-10-08 02:22:01,10,Singapore,143.92.108.157,8.658,,
shopee.my,2023-10-08 02:22:01,10.1,Singapore,143.92.108.159,7.780,,
shopee.my,2023-10-08 02:22:01,10.2,Singapore,143.92.108.157,6.838,,
shopee.my,2023-10-08 02:22:01,11,Singapore,10.100.168.225,8.441,,
shopee.my,2023-10-08 02:22:01,11.1,Singapore,10.100.168.227,9.090,,
shopee.my,2023-10-08 02:22:01,11.2,Singapore,10.100.168.53,11.461,,
shopee.ph,2023-10-08 02:22:25,1,Singapore,192.168.0.1,4.435,2.105,5.068
shopee.ph,2023-10-08 02:22:25,2,Singapore,49.245.0.1,4.625,4.392,5.164
shopee.ph,2023-10-08 02:22:25,3,Singapore,202.65.246.6,7.113,4.738,5.061
shopee.ph,2023-10-08 02:22:25,4,Singapore,202.65.246.5,5.395,5.862,5.263
shopee.ph,2023-10-08 02:22:25,5,Singapore,202.65.246.37,5.891,6.464,6.968
shopee.ph,2023-10-08 02:22:25,6,Singapore,202.65.246.221,7.113,,
shopee.ph,2023-10-08 02:22:25,6.1,Singapore,202.65.246.134,6.626,6.415,
shopee.ph,2023-10-08 02:22:25,7,Singapore,27.111.229.144,7.880,7.685,6.868
shopee.ph,2023-10-08 02:22:25,8,Singapore,143.92.96.46,5.703,,
shopee.ph,2023-10-08 02:22:25,8.1,Singapore,143.92.96.50,7.133,5.182,
shopee.ph,2023-10-08 02:22:25,9,Singapore,143.92.108.160,6.515,,
shopee.ph,2023-10-08 02:22:25,9.1,Singapore,143.92.108.168,7.005,,
shopee.ph,2023-10-08 02:22:25,9.2,Singapore,143.92.108.176,6.235,,
shopee.ph,2023-10-08 02:22:25,10,Singapore,143.92.108.177,6.419,6.623,
shopee.ph,2023-10-08 02:22:25,10.1,Singapore,143.92.108.187,6.778,,
shopee.ph,2023-10-08 02:22:25,11,Singapore,10.169.242.67,13.663,,
shopee.ph,2023-10-08 02:22:25,11.1,Singapore,10.169.247.69,8.753,,
shopee.ph,2023-10-08 02:22:25,11.2,Singapore,10.169.242.71,8.822,,
shopee.ph,2023-10-08 02:22:25,12,Singapore,10.254.249.49,9.359,,
shopee.ph,2023-10-08 02:22:25,12.1,Singapore,10.254.248.49,7.528,,
shopee.ph,2023-10-08 02:22:25,12.2,Singapore,10.254.251.49,6.974,,
shopee.co.id,2023-10-08 02:22:56,1,Singapore,192.168.0.1,4.103,3.434,2.584
shopee.co.id,2023-10-08 02:22:56,2,Singapore,49.245.0.1,4.619,4.874,5.162
shopee.co.id,2023-10-08 02:22:56,3,Singapore,202.65.246.6,6.341,6.130,6.360
shopee.co.id,2023-10-08 02:22:56,4,Singapore,202.65.246.5,4.498,5.372,5.763
shopee.co.id,2023-10-08 02:22:56,5,Singapore,202.65.246.37,4.727,5.800,6.101
shopee.co.id,2023-10-08 02:22:56,6,Singapore,202.65.246.134,6.411,,
shopee.co.id,2023-10-08 02:22:56,6.1,Singapore,202.65.246.221,5.710,6.762,
shopee.co.id,2023-10-08 02:22:56,7,Singapore,27.111.229.145,6.206,5.832,6.713
shopee.co.id,2023-10-08 02:22:56,8,Singapore,143.92.108.196,5.903,7.736,5.040
shopee.co.id,2023-10-08 02:22:56,11,Singapore,10.254.244.169,12.413,,
shopee.co.id,2023-10-08 02:22:56,11.1,Singapore,10.254.244.187,10.382,,
shopee.co.id,2023-10-08 02:22:56,11.2,Singapore,10.254.244.165,8.004,,
shopee.co.id,2023-10-08 02:22:56,12,Singapore,10.254.1.245,12.679,,
shopee.co.id,2023-10-08 02:22:56,12.1,Singapore,10.254.2.245,7.357,,
shopee.co.id,2023-10-08 02:22:56,12.2,Singapore,10.254.1.245,7.145,,
shopee.com,2023-10-08 02:23:23,1,Singapore,192.168.0.1,3.191,2.950,3.929
shopee.com,2023-10-08 02:23:23,2,Singapore,49.245.0.1,5.130,4.918,5.420
shopee.com,2023-10-08 02:23:23,3,Singapore,202.65.246.6,6.894,26.235,15.471
shopee.com,2023-10-08 02:23:23,4,Singapore,202.65.246.5,6.758,6.660,8.415
shopee.com,2023-10-08 02:23:23,5,Singapore,202.65.246.37,8.062,6.469,6.876
shopee.com,2023-10-08 02:23:23,6,Singapore,202.65.246.221,5.706,7.667,
shopee.com,2023-10-08 02:23:23,6.1,Singapore,202.65.246.134,6.119,,
shopee.com,2023-10-08 02:23:23,7,Singapore,27.111.229.145,7.159,8.784,8.244
shopee.com,2023-10-08 02:23:23,8,Singapore,143.92.108.196,6.303,6.450,5.702
shopee.com,2023-10-08 02:23:23,9,Singapore,143.92.108.154,6.653,,
shopee.com,2023-10-08 02:23:23,9.1,Singapore,143.92.108.158,12.619,,
shopee.com,2023-10-08 02:23:23,9.2,Singapore,143.92.108.156,6.375,,
shopee.com,2023-10-08 02:23:23,10,Singapore,143.92.108.159,8.680,,
shopee.com,2023-10-08 02:23:23,10.1,Singapore,143.92.108.157,10.275,,
shopee.com,2023-10-08 02:23:23,10.2,Singapore,143.92.108.159,7.829,,
shopee.com,2023-10-08 02:23:23,11,Singapore,10.100.168.227,11.018,,
shopee.com,2023-10-08 02:23:23,11.1,Singapore,10.100.168.225,9.944,,
shopee.com,2023-10-08 02:23:23,11.2,Singapore,10.100.168.63,9.733,,
shopee.co.th,2023-10-08 02:23:53,1,Singapore,192.168.0.1,4.163,3.883,3.727
shopee.co.th,2023-10-08 02:23:53,2,Singapore,49.245.0.1,5.759,4.944,4.318
shopee.co.th,2023-10-08 02:23:53,3,Singapore,202.65.246.6,6.564,5.405,5.981
shopee.co.th,2023-10-08 02:23:53,4,Singapore,202.65.246.5,5.776,15.072,7.633
shopee.co.th,2023-10-08 02:23:53,5,Singapore,202.65.246.162,6.008,6.664,7.078
shopee.co.th,2023-10-08 02:23:53,6,Singapore,103.16.102.50,6.889,5.568,5.819
shopee.co.th,2023-10-08 02:23:53,7,Singapore,49.231.46.128,30.613,29.836,
shopee.co.th,2023-10-08 02:23:53,7.1,Singapore,119.31.0.117,35.389,,
shopee.co.th,2023-10-08 02:23:53,8,Singapore,49.231.70.69,33.564,35.052,
shopee.co.th,2023-10-08 02:23:53,8.1,Singapore,49.231.71.74,35.476,,
shopee.co.th,2023-10-08 02:23:53,9,Singapore,49.231.71.188,36.283,,
shopee.co.th,2023-10-08 02:23:53,9.1,Singapore,49.231.70.173,32.755,32.855,
shopee.co.th,2023-10-08 02:23:53,10,Singapore,202.170.118.242,37.622,35.343,35.428
shopee.co.th,2023-10-08 02:23:53,11,Singapore,202.170.118.242,37.225,,
shopee.vn,2023-10-08 02:24:18,1,Singapore,192.168.0.1,3.217,2.998,2.597
shopee.vn,2023-10-08 02:24:18,2,Singapore,49.245.0.1,5.565,5.116,4.968
shopee.vn,2023-10-08 02:24:18,3,Singapore,202.65.246.6,5.419,6.422,5.859
shopee.vn,2023-10-08 02:24:18,4,Singapore,202.65.246.5,16.733,21.185,4.504
shopee.vn,2023-10-08 02:24:18,5,Singapore,202.65.246.37,5.886,7.229,6.399
shopee.vn,2023-10-08 02:24:18,6,Singapore,202.65.246.221,26.107,6.045,6.890
shopee.vn,2023-10-08 02:24:18,7,Singapore,27.111.229.144,8.400,7.292,7.037
shopee.vn,2023-10-08 02:24:18,8,Singapore,143.92.96.50,7.918,8.896,7.335
shopee.vn,2023-10-08 02:24:18,9,Singapore,143.92.108.176,9.060,,
shopee.vn,2023-10-08 02:24:18,9.1,Singapore,143.92.108.178,10.461,,
shopee.vn,2023-10-08 02:24:18,9.2,Singapore,143.92.108.166,18.508,,
shopee.vn,2023-10-08 02:24:18,10,Singapore,143.92.108.169,6.627,,
shopee.vn,2023-10-08 02:24:18,10.1,Singapore,143.92.108.181,8.005,,
shopee.vn,2023-10-08 02:24:18,10.2,Singapore,143.92.108.191,6.408,,
shopee.vn,2023-10-08 02:24:18,11,Singapore,10.169.243.67,9.665,,
shopee.vn,2023-10-08 02:24:18,11.1,Singapore,10.169.245.69,8.762,,
shopee.vn,2023-10-08 02:24:18,11.2,Singapore,10.169.246.71,677.267,,
shopee.vn,2023-10-08 02:24:18,12,Singapore,10.254.249.53,11.814,,
shopee.vn,2023-10-08 02:24:18,12.1,Singapore,10.254.248.53,6.833,,
shopee.vn,2023-10-08 02:24:18,12.2,Singapore,10.254.251.53,7.388,,
shopback.sg,2023-10-08 02:24:18,1,Singapore,192.168.0.1,2.801,3.019,4.848
shopback.sg,2023-10-08 02:24:18,2,Singapore,49.245.0.1,7.247,4.705,7.342
shopback.sg,2023-10-08 02:24:18,3,Singapore,202.65.246.178,8.823,4.203,4.028
shopback.sg,2023-10-08 02:24:18,4,Singapore,202.65.246.177,3.949,5.007,4.180
shopback.sg,2023-10-08 02:24:18,5,Singapore,202.65.246.9,4.665,,
shopback.sg,2023-10-08 02:24:18,5.1,Singapore,202.65.245.146,5.077,,
shopback.sg,2023-10-08 02:24:18,5.2,Singapore,202.65.246.9,9.323,,
shopback.sg,2023-10-08 02:24:18,6,Singapore,202.65.246.37,5.024,4.985,4.763
shopback.sg,2023-10-08 02:24:18,7,Singapore,202.65.246.221,4.693,4.823,4.852
shopback.sg,2023-10-08 02:24:18,8,Singapore,162.158.160.220,21.728,34.486,8.198
shopback.sg,2023-10-08 02:24:18,9,Singapore,162.158.168.2,22.167,10.691,
shopback.sg,2023-10-08 02:24:18,9.1,Singapore,172.70.144.3,11.087,,
shopback.sg,2023-10-08 02:24:18,10,Singapore,104.26.6.84,5.083,5.851,6.578
shopback.my,2023-10-08 02:24:19,1,Singapore,192.168.0.1,4.112,2.050,7.476
shopback.my,2023-10-08 02:24:19,2,Singapore,49.245.0.1,4.384,4.974,4.730
shopback.my,2023-10-08 02:24:19,3,Singapore,202.65.246.6,4.436,5.454,4.405
shopback.my,2023-10-08 02:24:19,4,Singapore,202.65.246.5,3.837,5.988,4.816
shopback.my,2023-10-08 02:24:19,5,Singapore,202.65.246.37,4.802,5.199,4.533
shopback.my,2023-10-08 02:24:19,6,Singapore,202.65.246.134,4.450,5.288,
shopback.my,2023-10-08 02:24:19,6.1,Singapore,202.65.246.221,4.681,,
shopback.my,2023-10-08 02:24:19,7,Singapore,162.158.160.220,15.417,30.859,7.476
shopback.my,2023-10-08 02:24:19,8,Singapore,172.70.144.3,6.140,6.369,
shopback.my,2023-10-08 02:24:19,8.1,Singapore,162.158.39.3,7.207,,
shopback.my,2023-10-08 02:24:19,9,Singapore,172.67.74.154,5.485,7.429,5.865
shopback.ph,2023-10-08 02:24:21,1,Singapore,192.168.0.1,5.919,,
shopback.ph,2023-10-08 02:24:21,2,Singapore,49.245.0.1,6.309,4.676,5.051
shopback.ph,2023-10-08 02:24:21,3,Singapore,202.65.246.6,4.706,5.120,4.034
shopback.ph,2023-10-08 02:24:21,4,Singapore,202.65.246.5,4.976,4.420,4.051
shopback.ph,2023-10-08 02:24:21,5,Singapore,202.65.246.37,5.751,5.892,5.293
shopback.ph,2023-10-08 02:24:21,6,Singapore,202.65.246.221,6.248,5.632,5.302
shopback.ph,2023-10-08 02:24:21,7,Singapore,162.158.160.220,9.764,21.209,6.013
shopback.ph,2023-10-08 02:24:21,8,Singapore,162.158.160.19,6.399,,
shopback.ph,2023-10-08 02:24:21,8.1,Singapore,172.70.144.3,5.607,,
shopback.ph,2023-10-08 02:24:21,8.2,Singapore,172.70.146.3,6.417,,
shopback.ph,2023-10-08 02:24:21,9,Singapore,172.67.68.93,7.063,6.026,5.687
shopback.co.id,2023-10-08 02:24:22,1,Singapore,192.168.0.1,2.935,,
shopback.co.id,2023-10-08 02:24:22,2,Singapore,49.245.0.1,6.415,5.699,5.767
shopback.co.id,2023-10-08 02:24:22,3,Singapore,202.65.246.178,4.115,8.369,10.798
shopback.co.id,2023-10-08 02:24:22,4,Singapore,202.65.246.177,4.138,8.617,5.927
shopback.co.id,2023-10-08 02:24:22,5,Singapore,202.65.245.146,5.604,4.548,
shopback.co.id,2023-10-08 02:24:22,5.1,Singapore,202.65.246.9,4.117,,
shopback.co.id,2023-10-08 02:24:22,6,Singapore,202.65.246.37,12.885,6.410,6.915
shopback.co.id,2023-10-08 02:24:22,7,Singapore,202.65.246.221,5.132,,
shopback.co.id,2023-10-08 02:24:22,7.1,Singapore,202.65.246.134,5.138,4.757,
shopback.co.id,2023-10-08 02:24:22,8,Singapore,162.158.160.220,27.229,28.846,15.947
shopback.co.id,2023-10-08 02:24:22,9,Singapore,162.158.168.2,10.359,,
shopback.co.id,2023-10-08 02:24:22,9.1,Singapore,172.70.146.3,14.774,6.218,
shopback.co.id,2023-10-08 02:24:22,10,Singapore,104.26.15.194,5.292,5.815,5.835
shopback.com,2023-10-08 02:24:23,1,Singapore,192.168.0.1,3.051,,
shopback.com,2023-10-08 02:24:23,2,Singapore,49.245.0.1,5.887,5.123,4.712
shopback.com,2023-10-08 02:24:23,3,Singapore,202.65.246.178,4.441,5.401,4.288
shopback.com,2023-10-08 02:24:23,4,Singapore,202.65.246.177,9.478,4.928,4.323
shopback.com,2023-10-08 02:24:23,5,Singapore,202.65.245.146,5.949,,
shopback.com,2023-10-08 02:24:23,5.1,Singapore,202.65.246.9,4.707,4.867,
shopback.com,2023-10-08 02:24:23,6,Singapore,202.65.246.37,6.071,5.076,5.916
shopback.com,2023-10-08 02:24:23,7,Singapore,202.65.246.134,5.698,5.649,6.755
shopback.com,2023-10-08 02:24:23,8,Singapore,162.158.160.220,5.453,6.207,5.732
shopback.com,2023-10-08 02:24:23,9,Singapore,162.158.168.2,5.630,,
shopback.com,2023-10-08 02:24:23,9.1,Singapore,172.70.146.3,6.600,,
shopback.com,2023-10-08 02:24:23,9.2,Singapore,172.70.140.3,6.954,,
shopback.com,2023-10-08 02:24:23,10,Singapore,104.26.15.122,5.928,5.669,5.714
shopback.co.th,2023-10-08 02:24:26,1,Singapore,192.168.0.1,5.556,,
shopback.co.th,2023-10-08 02:24:26,2,Singapore,49.245.0.1,8.307,4.038,4.510
shopback.co.th,2023-10-08 02:24:26,3,Singapore,202.65.246.178,25.344,4.738,4.478
shopback.co.th,2023-10-08 02:24:26,4,Singapore,202.65.246.177,4.277,6.230,4.588
shopback.co.th,2023-10-08 02:24:26,5,Singapore,202.65.246.9,9.475,,
shopback.co.th,2023-10-08 02:24:26,5.1,Singapore,202.65.245.146,5.251,6.302,
shopback.co.th,2023-10-08 02:24:26,6,Singapore,202.65.246.37,6.517,6.271,16.002
shopback.co.th,2023-10-08 02:24:26,7,Singapore,202.65.246.221,5.756,,
shopback.co.th,2023-10-08 02:24:26,7.1,Singapore,202.65.246.134,6.152,,
shopback.co.th,2023-10-08 02:24:26,7.2,Singapore,202.65.246.221,4.716,,
shopback.co.th,2023-10-08 02:24:26,8,Singapore,162.158.160.220,5.894,5.663,7.074
shopback.co.th,2023-10-08 02:24:26,9,Singapore,162.158.116.3,6.682,,
shopback.co.th,2023-10-08 02:24:26,9.1,Singapore,162.158.168.2,6.236,,
shopback.co.th,2023-10-08 02:24:26,9.2,Singapore,162.158.116.3,5.992,,
shopback.co.th,2023-10-08 02:24:26,10,Singapore,104.26.4.179,5.542,10.297,6.331
goshopback.vn,2023-10-08 02:24:27,1,Singapore,192.168.0.1,3.527,,
goshopback.vn,2023-10-08 02:24:27,2,Singapore,49.245.0.1,4.992,7.747,4.508
goshopback.vn,2023-10-08 02:24:27,3,Singapore,202.65.246.178,5.656,5.369,6.582
goshopback.vn,2023-10-08 02:24:27,4,Singapore,202.65.246.177,5.583,4.650,4.744
goshopback.vn,2023-10-08 02:24:27,5,Singapore,202.65.245.146,6.222,,
goshopback.vn,2023-10-08 02:24:27,5.1,Singapore,202.65.246.9,5.745,,
goshopback.vn,2023-10-08 02:24:27,5.2,Singapore,202.65.245.146,4.603,,
goshopback.vn,2023-10-08 02:24:27,6,Singapore,202.65.246.37,5.300,5.022,5.321
goshopback.vn,2023-10-08 02:24:27,7,Singapore,202.65.246.134,4.999,6.053,7.698
goshopback.vn,2023-10-08 02:24:27,8,Singapore,162.158.160.220,19.273,6.051,5.415
goshopback.vn,2023-10-08 02:24:27,9,Singapore,162.158.39.3,16.093,,
goshopback.vn,2023-10-08 02:24:27,9.1,Singapore,172.70.144.3,5.929,7.296,
goshopback.vn,2023-10-08 02:24:27,10,Singapore,104.26.12.204,6.455,6.005,6.409
taobao.com,2023-10-08 02:24:51,1,Singapore,192.168.0.1,9.413,,
taobao.com,2023-10-08 02:24:51,2,Singapore,49.245.0.1,7.609,4.616,4.784
taobao.com,2023-10-08 02:24:51,3,Singapore,202.65.246.254,8.373,4.161,4.323
taobao.com,2023-10-08 02:24:51,4,Singapore,202.65.246.253,5.443,5.811,4.950
taobao.com,2023-10-08 02:24:51,5,Singapore,202.65.246.9,7.935,,
taobao.com,2023-10-08 02:24:51,5.1,Singapore,202.65.245.146,4.326,,
taobao.com,2023-10-08 02:24:51,5.2,Singapore,202.65.246.9,5.118,,
taobao.com,2023-10-08 02:24:51,6,Singapore,202.65.246.37,5.612,5.339,5.529
taobao.com,2023-10-08 02:24:51,7,Singapore,202.65.246.134,7.345,,
taobao.com,2023-10-08 02:24:51,7.1,Singapore,202.65.246.221,4.870,,
taobao.com,2023-10-08 02:24:51,7.2,Singapore,202.65.246.134,6.516,,
taobao.com,2023-10-08 02:24:51,8,Singapore,62.115.176.96,5.671,,
taobao.com,2023-10-08 02:24:51,9,Singapore,62.115.116.204,166.867,,
taobao.com,2023-10-08 02:24:51,9.1,Singapore,62.115.116.196,159.046,159.053,
taobao.com,2023-10-08 02:24:51,10,Singapore,62.115.114.202,192.745,,
taobao.com,2023-10-08 02:24:51,10.1,Singapore,62.115.124.60,159.188,,
taobao.com,2023-10-08 02:24:51,11,Singapore,62.115.132.209,161.558,,
taobao.com,2023-10-08 02:24:51,11.1,Singapore,62.115.132.211,182.064,,
taobao.com,2023-10-08 02:24:51,11.2,Singapore,62.115.132.209,183.527,,
taobao.com,2023-10-08 02:24:51,12,Singapore,219.158.40.221,473.415,,
taobao.com,2023-10-08 02:24:51,13,Singapore,219.158.15.161,432.378,,
taobao.com,2023-10-08 02:24:51,13.1,Singapore,219.158.3.117,427.031,485.527,
taobao.com,2023-10-08 02:24:51,14,Singapore,219.158.22.142,308.413,,
taobao.com,2023-10-08 02:24:51,14.1,Singapore,219.158.111.134,195.547,190.719,
taobao.com,2023-10-08 02:24:51,15,Singapore,219.158.8.189,202.992,,
taobao.com,2023-10-08 02:24:51,15.1,Singapore,219.158.19.86,302.931,299.312,
taobao.com,2023-10-08 02:24:51,16,Singapore,219.158.8.209,205.770,,
taobao.com,2023-10-08 02:24:51,16.1,Singapore,219.158.19.69,202.494,,
taobao.com,2023-10-08 02:24:51,17,Singapore,139.226.231.106,309.408,,
taobao.com,2023-10-08 02:24:51,17.1,Singapore,139.226.225.158,203.634,,
taobao.com,2023-10-08 02:24:51,17.2,Singapore,139.226.210.90,190.119,,
taobao.com,2023-10-08 02:24:51,18,Singapore,139.226.209.2,334.500,,
taobao.com,2023-10-08 02:24:51,19,Singapore,140.206.111.202,210.643,194.358,
taobao.com,2023-10-08 02:24:51,19.1,Singapore,140.206.207.74,192.532,,
taobao.com,2023-10-08 02:24:51,20,Singapore,42.120.241.42,205.303,,
taobao.com,2023-10-08 02:24:51,20.1,Singapore,140.205.50.242,208.365,,
aliexpress.com,2023-10-08 02:25:28,1,Singapore,192.168.0.1,5.087,2.381,2.263
aliexpress.com,2023-10-08 02:25:28,2,Singapore,49.245.0.1,4.535,5.356,4.808
aliexpress.com,2023-10-08 02:25:28,3,Singapore,202.65.246.6,5.082,6.378,5.844
aliexpress.com,2023-10-08 02:25:28,4,Singapore,202.65.246.5,5.134,4.867,5.863
aliexpress.com,2023-10-08 02:25:28,5,Singapore,202.65.246.37,7.028,6.040,8.081
aliexpress.com,2023-10-08 02:25:28,6,Singapore,202.65.246.134,6.371,5.229,
aliexpress.com,2023-10-08 02:25:28,6.1,Singapore,202.65.246.221,30.333,,
aliexpress.com,2023-10-08 02:25:28,7,Singapore,47.246.117.69,7.131,7.299,8.120
aliexpress.com,2023-10-08 02:25:28,8,Singapore,198.11.129.113,8.574,,
aliexpress.com,2023-10-08 02:25:28,8.1,Singapore,198.11.129.121,6.511,,
dhgate.com,2023-10-08 02:25:56,1,Singapore,192.168.0.1,3.459,3.570,2.745
dhgate.com,2023-10-08 02:25:56,2,Singapore,49.245.0.1,5.488,4.833,4.538
dhgate.com,2023-10-08 02:25:56,3,Singapore,202.65.246.6,6.033,7.259,6.192
